"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 11, 2019","282.93","284.80","287.87","275.89","8.82M","0.87%"
"Oct 10, 2019","280.48","265.97","280.53","265.03","10.96M","4.84%"
"Oct 09, 2019","267.53","270.02","271.00","264.57","6.84M","-1.18%"
"Oct 08, 2019","270.72","273.03","275.53","270.64","6.30M","-1.36%"
"Oct 07, 2019","274.46","271.99","276.68","271.28","6.80M","0.61%"
"Oct 04, 2019","272.79","268.20","275.48","266.47","9.99M","1.73%"
"Oct 03, 2019","268.15","267.78","268.84","257.01","9.07M","0.04%"
"Oct 02, 2019","268.03","263.61","269.35","262.19","7.77M","-0.57%"
"Oct 01, 2019","269.58","267.35","272.20","264.03","8.79M","0.73%"
"Sep 30, 2019","267.62","264.00","268.88","262.78","6.82M","1.73%"
"Sep 27, 2019","263.08","266.18","267.44","260.39","7.37M","-0.09%"
"Sep 26, 2019","263.31","266.42","268.05","260.20","7.70M","-0.54%"
"Sep 25, 2019","264.75","255.71","266.60","253.70","11.85M","3.99%"
"Sep 24, 2019","254.59","262.50","265.00","252.28","16.39M","-4.26%"
"Sep 23, 2019","265.92","268.35","273.39","261.89","13.61M","-1.78%"
"Sep 20, 2019","270.75","280.26","282.50","266.00","23.95M","-5.53%"
"Sep 19, 2019","286.60","291.56","293.81","283.40","8.55M","-1.70%"
"Sep 18, 2019","291.56","294.99","296.05","287.45","7.84M","-2.36%"
"Sep 17, 2019","298.60","294.50","299.15","291.79","4.82M","1.46%"
"Sep 16, 2019","294.29","294.23","297.43","289.78","5.31M","0.05%"
"Sep 13, 2019","294.15","290.61","296.62","290.04","6.58M","1.83%"
"Sep 12, 2019","288.86","288.10","292.73","286.60","5.01M","0.20%"
"Sep 11, 2019","288.27","285.70","292.65","284.61","7.41M","0.10%"
"Sep 10, 2019","287.99","291.16","297.17","282.66","12.32M","-2.16%"
"Sep 09, 2019","294.34","294.81","301.55","290.60","8.23M","1.44%"
"Sep 06, 2019","290.17","293.35","293.35","287.03","5.17M","-1.05%"
"Sep 05, 2019","293.25","285.32","293.97","282.79","8.97M","0.59%"
"Sep 04, 2019","291.52","291.25","292.38","286.51","4.65M","0.77%"
"Sep 03, 2019","289.29","290.82","293.90","288.06","3.68M","-1.52%"
"Aug 30, 2019","293.75","298.78","298.94","290.85","4.45M","-1.02%"
"Aug 29, 2019","296.78","295.00","299.93","294.99","4.39M","1.72%"
"Aug 28, 2019","291.77","289.47","292.82","287.75","3.96M","0.25%"
"Aug 27, 2019","291.03","294.54","296.77","287.20","6.31M","-1.34%"
"Aug 26, 2019","294.98","295.24","296.95","292.50","4.70M","1.21%"
"Aug 23, 2019","291.44","295.00","299.01","290.32","6.33M","-1.85%"
"Aug 22, 2019","296.93","298.65","300.33","293.15","4.98M","-0.30%"
"Aug 21, 2019","297.81","301.61","302.88","296.20","5.69M","-0.39%"
"Aug 20, 2019","298.99","304.57","305.00","297.68","7.35M","-3.36%"
"Aug 19, 2019","309.38","306.25","311.75","304.75","4.95M","2.17%"
"Aug 16, 2019","302.80","298.86","303.55","296.27","7.09M","2.38%"
"Aug 15, 2019","295.76","299.50","300.63","288.00","9.68M","-1.12%"
"Aug 14, 2019","299.11","308.01","308.41","298.00","7.36M","-4.22%"
"Aug 13, 2019","312.28","309.77","316.43","308.16","5.34M","0.47%"
"Aug 12, 2019","310.83","305.46","312.89","303.24","6.53M","0.62%"
"Aug 09, 2019","308.93","313.74","316.64","305.68","5.35M","-2.21%"
"Aug 08, 2019","315.90","311.03","316.36","306.63","5.91M","3.82%"
"Aug 07, 2019","304.29","302.56","305.00","296.81","9.32M","-1.87%"
"Aug 06, 2019","310.10","310.58","311.88","305.30","6.18M","0.80%"
"Aug 05, 2019","307.63","310.96","313.42","304.68","8.69M","-3.51%"
"Aug 02, 2019","318.83","317.49","319.41","311.80","6.28M","-0.21%"
"Aug 01, 2019","319.50","324.25","328.58","318.74","6.56M","-1.08%"
"Jul 31, 2019","322.99","325.16","331.77","318.53","6.26M","-0.90%"
"Jul 30, 2019","325.93","329.20","329.65","323.23","6.03M","-2.03%"
"Jul 29, 2019","332.70","335.98","336.40","328.77","5.78M","-0.92%"
"Jul 26, 2019","335.78","328.79","336.00","327.50","10.85M","2.85%"
"Jul 25, 2019","326.46","318.86","327.69","316.30","10.80M","2.68%"
"Jul 24, 2019","317.94","310.51","319.99","307.25","11.96M","3.46%"
"Jul 23, 2019","307.30","311.44","313.50","306.00","9.17M","-1.07%"
"Jul 22, 2019","310.62","312.00","314.54","305.81","17.73M","-1.42%"
"Jul 19, 2019","315.10","323.40","325.85","314.23","16.30M","-3.11%"
"Jul 18, 2019","325.21","323.76","329.85","320.30","31.31M","-10.27%"
"Jul 17, 2019","362.44","366.25","366.50","361.75","13.64M","-0.97%"
"Jul 16, 2019","365.99","370.09","371.34","364.92","5.86M","-0.17%"
"Jul 15, 2019","366.60","372.94","373.68","362.30","7.94M","-1.78%"
"Jul 12, 2019","373.25","378.68","379.74","372.79","6.64M","-1.65%"
"Jul 11, 2019","379.50","381.10","384.54","378.80","4.34M","-0.39%"
"Jul 10, 2019","381.00","382.77","384.34","377.40","5.88M","0.28%"
"Jul 09, 2019","379.93","379.06","384.76","377.50","6.93M","1.00%"
"Jul 08, 2019","376.16","378.19","378.25","375.36","3.11M","-1.15%"
"Jul 05, 2019","380.55","378.29","381.40","375.56","3.73M","-0.31%"
"Jul 03, 2019","381.72","376.69","381.99","375.84","3.80M","1.68%"
"Jul 02, 2019","375.43","374.89","376.00","370.31","3.63M","0.22%"
"Jul 01, 2019","374.60","373.50","376.66","372.00","5.00M","1.98%"
"Jun 28, 2019","367.32","370.26","371.54","364.87","4.59M","-0.73%"
"Jun 27, 2019","370.02","363.20","370.85","363.20","4.14M","2.16%"
"Jun 26, 2019","362.20","361.60","366.79","361.60","3.67M","0.53%"
"Jun 25, 2019","360.30","370.75","371.00","358.29","5.75M","-2.89%"
"Jun 24, 2019","371.04","370.27","375.00","370.20","4.83M","0.50%"
"Jun 21, 2019","369.21","365.00","371.45","365.00","7.45M","1.10%"
"Jun 20, 2019","365.21","365.91","370.12","361.21","5.90M","0.46%"
"Jun 19, 2019","363.52","361.72","364.74","356.12","5.67M","1.79%"
"Jun 18, 2019","357.12","355.57","361.50","353.75","5.43M","1.85%"
"Jun 17, 2019","350.62","342.69","351.77","342.06","5.36M","3.21%"
"Jun 14, 2019","339.73","341.63","343.40","336.15","5.02M","-1.08%"
"Jun 13, 2019","343.43","347.23","348.50","339.25","6.21M","-0.62%"
"Jun 12, 2019","345.56","351.82","353.61","343.23","4.58M","-1.63%"
"Jun 11, 2019","351.27","355.00","357.58","348.50","5.40M","-0.21%"
"Jun 10, 2019","352.01","363.65","367.10","349.29","7.81M","-2.46%"
"Jun 07, 2019","360.87","357.39","365.15","355.69","4.78M","1.05%"
"Jun 06, 2019","357.13","354.84","358.21","352.09","3.71M","0.39%"
"Jun 05, 2019","355.73","354.38","357.88","348.71","5.02M","0.66%"
"Jun 04, 2019","353.40","345.00","353.61","343.25","7.89M","4.98%"
"Jun 03, 2019","336.63","343.56","347.66","332.65","7.85M","-1.94%"
"May 31, 2019","343.28","347.22","349.34","342.92","5.02M","-2.44%"
"May 30, 2019","351.85","350.55","354.21","348.30","4.01M","0.76%"
"May 29, 2019","349.19","353.60","353.85","345.90","5.66M","-1.58%"
"May 28, 2019","354.78","354.39","361.20","353.64","4.72M","0.11%"
"May 24, 2019","354.39","355.41","359.44","353.79","3.83M","0.62%"
"May 23, 2019","352.21","355.50","357.42","347.70","5.63M","-2.09%"
"May 22, 2019","359.73","358.01","370.46","357.30","6.23M","1.54%"
"May 21, 2019","354.27","350.95","356.43","349.93","4.03M","1.77%"
"May 20, 2019","348.11","351.23","352.42","345.40","4.62M","-1.79%"
"May 17, 2019","354.45","356.39","359.62","353.79","4.73M","-1.35%"
"May 16, 2019","359.31","356.37","364.00","353.94","6.44M","1.22%"
"May 15, 2019","354.99","343.34","356.50","341.39","6.34M","2.71%"
"May 14, 2019","345.61","348.71","349.95","342.50","5.35M","0.10%"
"May 13, 2019","345.26","352.29","354.26","343.10","8.03M","-4.37%"
"May 10, 2019","361.04","361.62","365.26","353.06","5.66M","-0.47%"
"May 09, 2019","362.75","360.90","364.20","352.75","5.88M","-0.44%"
"May 08, 2019","364.37","367.92","369.00","361.36","6.57M","-1.64%"
"May 07, 2019","370.46","377.00","379.91","365.81","6.97M","-2.17%"
"May 06, 2019","378.67","377.69","381.35","376.00","5.79M","-1.65%"
"May 03, 2019","385.03","381.53","385.03","378.27","5.13M","1.57%"
"May 02, 2019","379.06","378.00","383.50","374.51","5.40M","0.07%"
"May 01, 2019","378.81","374.00","385.99","373.17","9.26M","2.23%"
"Apr 30, 2019","370.54","369.56","374.50","368.35","3.87M","-0.35%"
"Apr 29, 2019","371.83","373.68","374.58","369.12","3.82M","-0.81%"
"Apr 26, 2019","374.85","368.35","375.14","366.24","5.62M","1.77%"
"Apr 25, 2019","368.33","374.49","374.76","365.70","6.26M","-1.58%"
"Apr 24, 2019","374.23","381.07","381.90","373.27","6.54M","-2.01%"
"Apr 23, 2019","381.89","375.45","384.80","374.71","10.09M","1.21%"
"Apr 22, 2019","377.34","359.70","377.69","359.00","11.98M","4.71%"
"Apr 18, 2019","360.35","355.00","360.41","351.64","8.35M","1.58%"
"Apr 17, 2019","354.74","365.05","368.76","350.60","18.05M","-1.31%"
"Apr 16, 2019","359.46","355.00","364.48","352.72","18.74M","3.04%"
"Apr 15, 2019","348.87","350.71","352.21","342.27","8.84M","-0.65%"
"Apr 12, 2019","351.14","360.69","361.75","349.36","15.65M","-4.49%"
"Apr 11, 2019","367.65","365.00","370.12","360.81","6.53M","1.02%"
"Apr 10, 2019","363.92","365.79","368.85","362.25","4.55M","-0.22%"
"Apr 09, 2019","364.71","360.54","366.74","359.00","5.44M","0.91%"
"Apr 08, 2019","361.41","365.11","365.94","359.93","4.65M","-1.12%"
"Apr 05, 2019","365.49","369.00","369.80","364.66","3.91M","-0.65%"
"Apr 04, 2019","367.88","370.07","372.05","362.40","4.63M","-0.51%"
"Apr 03, 2019","369.75","369.26","373.41","366.19","5.38M","0.55%"
"Apr 02, 2019","367.72","366.25","368.42","362.22","5.16M","0.21%"
"Apr 01, 2019","366.96","359.00","368.33","358.51","7.04M","2.92%"
"Mar 29, 2019","356.56","357.16","358.25","353.71","4.71M","0.55%"
"Mar 28, 2019","354.61","354.49","355.94","349.20","4.36M","0.35%"
"Mar 27, 2019","353.37","361.00","362.47","350.37","7.85M","-1.83%"
"Mar 26, 2019","359.97","367.87","368.38","358.02","7.67M","-1.71%"
"Mar 25, 2019","366.23","359.00","367.04","357.44","8.47M","1.45%"
"Mar 22, 2019","361.01","375.95","376.43","360.04","8.66M","-4.46%"
"Mar 21, 2019","377.87","374.00","379.00","370.61","8.54M","0.71%"
"Mar 20, 2019","375.22","358.91","375.90","357.01","10.92M","4.58%"
"Mar 19, 2019","358.78","366.40","366.96","356.80","7.54M","-1.28%"
"Mar 18, 2019","363.44","362.47","370.97","361.86","7.19M","0.55%"
"Mar 15, 2019","361.46","361.02","364.00","358.89","8.44M","0.74%"
"Mar 14, 2019","358.82","360.50","363.84","358.10","5.27M","-0.66%"
"Mar 13, 2019","361.21","355.81","362.48","352.76","6.44M","1.39%"
"Mar 12, 2019","356.27","359.37","360.13","353.80","5.16M","-0.72%"
"Mar 11, 2019","358.86","352.00","358.98","350.03","5.39M","2.65%"
"Mar 08, 2019","349.60","345.75","349.92","342.47","6.90M","-0.85%"
"Mar 07, 2019","352.60","360.16","362.86","350.50","6.15M","-1.95%"
"Mar 06, 2019","359.61","353.60","359.88","351.70","6.21M","1.50%"
"Mar 05, 2019","354.30","351.46","356.17","348.25","5.94M","0.93%"
"Mar 04, 2019","351.04","359.72","362.25","348.04","7.49M","-1.76%"
"Mar 01, 2019","357.32","362.26","362.87","354.69","5.53M","-0.22%"
"Feb 28, 2019","358.10","362.47","366.39","357.71","6.19M","-1.31%"
"Feb 27, 2019","362.87","363.50","368.03","359.80","5.63M","-0.58%"
"Feb 26, 2019","364.97","362.98","365.70","359.33","4.94M","0.29%"
"Feb 25, 2019","363.91","367.01","371.49","363.79","7.57M","0.25%"
"Feb 22, 2019","363.02","360.34","366.13","360.05","7.09M","1.69%"
"Feb 21, 2019","356.97","360.03","362.85","353.88","6.23M","-0.82%"
"Feb 20, 2019","359.91","364.85","366.71","356.70","8.11M","-0.56%"
"Feb 19, 2019","361.92","355.80","365.00","355.32","7.40M","1.42%"
"Feb 15, 2019","356.87","358.47","364.40","355.50","9.23M","-0.61%"
"Feb 14, 2019","359.07","351.75","360.45","348.33","9.30M","2.08%"
"Feb 13, 2019","351.77","357.30","359.60","350.28","10.56M","-2.28%"
"Feb 12, 2019","359.97","348.09","360.00","346.52","10.43M","4.12%"
"Feb 11, 2019","345.73","350.00","352.87","344.81","5.45M","-0.53%"
"Feb 08, 2019","347.57","338.00","348.00","338.00","7.56M","0.83%"
"Feb 07, 2019","344.71","347.90","348.75","339.02","7.86M","-2.12%"
"Feb 06, 2019","352.19","357.00","357.04","347.19","6.72M","-1.02%"
"Feb 05, 2019","355.81","353.20","360.00","352.90","9.05M","1.27%"
"Feb 04, 2019","351.34","342.60","352.00","341.30","9.05M","3.38%"
"Feb 01, 2019","339.85","337.18","346.84","336.50","9.83M","0.10%"
"Jan 31, 2019","339.50","339.68","345.99","338.09","8.54M","-0.34%"
"Jan 30, 2019","340.66","332.75","341.78","330.80","9.23M","3.58%"
"Jan 29, 2019","328.90","335.87","338.22","328.15","7.66M","-2.01%"
"Jan 28, 2019","335.66","334.70","336.30","328.88","8.65M","-0.71%"
"Jan 25, 2019","338.05","328.72","340.00","328.51","11.17M","3.48%"
"Jan 24, 2019","326.67","320.60","331.80","319.00","11.13M","1.45%"
"Jan 23, 2019","321.99","328.25","331.75","318.60","13.48M","-0.97%"
"Jan 22, 2019","325.16","334.89","336.88","321.03","17.94M","-4.11%"
"Jan 18, 2019","339.10","351.97","353.00","336.73","26.62M","-3.99%"
"Jan 17, 2019","353.19","349.50","355.79","346.41","18.87M","0.51%"
"Jan 16, 2019","351.39","354.00","358.85","348.11","15.39M","-0.92%"
"Jan 15, 2019","354.64","349.60","357.22","347.00","21.18M","6.52%"
"Jan 14, 2019","332.94","334.24","335.48","329.13","10.50M","-1.38%"
"Jan 11, 2019","337.59","330.96","341.09","328.52","19.50M","3.98%"
"Jan 10, 2019","324.66","314.57","325.37","312.50","13.47M","1.47%"
"Jan 09, 2019","319.96","317.71","323.35","313.50","13.34M","-0.10%"
"Jan 08, 2019","320.27","319.98","320.59","308.01","15.36M","1.56%"
"Jan 07, 2019","315.34","302.10","316.80","301.65","18.62M","5.97%"
"Jan 04, 2019","297.57","281.88","297.80","278.54","19.33M","9.72%"
"Jan 03, 2019","271.20","270.20","275.79","264.43","14.97M","1.32%"
"Jan 02, 2019","267.66","259.28","269.75","256.58","11.68M","0.00%"
